,id,main_cast_id,director_code
0,862,31.0,8359
1,8844,2157.0,8109
2,15602,6837.0,6555
3,31357,8851.0,5108
4,11862,67773.0,2596
5,949,1158.0,11635
6,11860,3.0,16140
7,45325,53283.0,13270
8,9091,15111.0,13275
9,710,517.0,11001
10,9087,3392.0,14217
11,12110,7633.0,11424
12,21032,4724.0,15591
13,10858,4173.0,12644
14,1408,16935.0,13919
15,524,380.0,11045
16,4584,204.0,1038
17,5,3129.0,696
18,9273,206.0,15890
19,11517,10814.0,8779
20,8012,8891.0,1575
21,1710,10205.0,8519
22,9691,16483.0,14022
23,12665,2453.0,17158
24,451,2963.0,11881
25,16420,2975.0,12640
26,9263,6886.0,10052
27,17015,30318.0,14564
28,902,2372.0,10559
29,37557,643.0,17684
30,9909,1160.0,8403
31,63,62.0,16363
32,78802,4138.0,7570
33,9598,58136.0,2769
34,47018,7056.0,2907
35,687,4038.0,16581
36,139405,1467084.0,15814
37,33689,1796.0,1031
38,9603,5588.0,756
39,34615,15152.0,3562
40,31174,1327.0,14064
41,11443,18291.0,357
42,35196,3223.0,11588
43,9312,38559.0,13086
44,577,2227.0,6063
45,11861,1920.0,8074
46,807,287.0,3701
47,10530,65529.0,11884
48,8391,54818.0,12864
49,629,9045.0,2251
50,117164,74375.0,14106
51,11448,1243.0,17586
52,49133,27392.0,5733
53,26441,26472.0,6533
54,97406,10431.0,17018
55,124057,198643.0,14451
56,9089,18686.0,8078
57,11010,24366.0,11689
58,99040,38524.0,14379
59,11359,69301.0,5213
60,17182,35.0,8453
61,2054,3037.0,15801
62,10607,35690.0,12815
63,19760,18277.0,1800
64,9536,64998.0,7396
65,11525,29459.0,4993
66,40628,124150.0,7156
67,4482,25256.0,8843
68,10634,9778.0,4965
69,755,1461.0,14424
70,11859,13021.0,933
71,28387,52419.0,12516
72,48750,3829.0,3025
73,20927,2224.0,11569
74,36929,8872.0,15889
75,9102,27811.0,2820
76,124626,938895.0,16114
77,27526,514.0,15232
78,9623,3416.0,2104
79,46785,1034640.0,7060
80,400,1271.0,5450
81,880,13506.0,10967
82,146599,19739.0,16579
83,188588,990400.0,6399
84,8447,40900.0,13443
85,10534,1229.0,14156
86,17414,1206.0,9385
87,13997,58198.0,13157
88,2086,85.0,8210
89,61548,12261.0,8258
90,9095,1204.0,15795
91,12158,776.0,17410
92,9283,2876.0,16312
93,9208,8891.0,8497
94,40154,29859.0,9412
95,406,1925.0,11160
96,45549,41381.0,13086
97,63076,92561.0,12340
98,11062,1158.0,6243
99,13685,36422.0,17408
100,47475,14.0,12343
101,2045,11477.0,8250
102,9614,19292.0,4031
103,688,5064.0,3069
104,11907,22686.0,4293
105,10874,13472.0,2112
106,89333,937034.0,14375
107,96357,10361.0,7119
108,197,2461.0,11428
109,103,380.0,11045
110,33542,18897.0,15711
111,43566,5064.0,1552
112,71754,1283.0,12086
113,43612,12270.0,17939
114,51352,11181.0,8522
115,16934,81023.0,1693
116,10324,520.0,4790
117,78406,1271.0,863
118,55731,4587.0,2602
119,32119,15319.0,8403
120,11066,776.0,13898
121,11104,56830.0,9183
122,37975,2166.0,5832
123,2074,7399.0,3830
124,27793,18259.0,13302
125,44284,1311669.0,12095
126,290157,1435458.0,11786
127,110972,2694.0,2243
128,32622,143151.0,13879
129,73067,2876.0,11630
130,11863,16560.0,17487
131,55475,222473.0,17915
132,124636,1650801.0,3170
133,9101,7090.0,3866
134,123360,3830.0,10919
135,5757,45382.0,4163
136,39428,93396.0,16344
137,124639,0.0,14986
138,9302,4135.0,8521
139,11000,2157.0,11900
140,249882,8349.0,7093
141,16388,86308.0,4524
142,9737,2888.0,11488
143,30765,32747.0,2892
144,10474,6193.0,15145
145,22279,4566.0,11899
146,30157,17882.0,6158
147,568,31.0,14630
148,11780,3896.0,11511
149,34996,3127.0,66
150,414,5576.0,8162
151,649,50.0,10345
152,1873,4687.0,8220
153,5894,1037.0,12939
154,1775,7180.0,11656
155,8839,6886.0,2012
156,20649,1037.0,15670
157,10329,350.0,5205
158,8963,5292.0,16877
159,26564,73033.0,16379
160,8068,3131.0,14424
161,8512,5292.0,2360
162,1572,62.0,8390
163,13552,16850.0,5969
164,259209,6368.0,2926
165,6520,738.0,7861
166,9073,18259.0,4410
167,10428,9012.0,6651
168,17447,6106.0,2886
169,9886,6384.0,14383
170,9482,16483.0,3518
171,19326,64998.0,8279
172,9344,57387.0,9839
173,9071,884.0,16706
174,8973,2154.0,3071
175,15730,13638.0,4044
176,47608,5577.0,1213
177,2293,11662.0,9508
178,9070,56895.0,2252
179,68274,20.0,3618
180,48787,545828.0,1188
181,34574,17257.0,11475
182,1642,18277.0,6794
183,11472,3291.0,2712
184,36196,7489.0,3305
185,11980,4690.0,6008
186,58372,12021.0,12565
187,32646,1231.0,16665
188,10533,3416.0,14585
189,56088,103902.0,2146
190,10802,19189.0,13085
191,10149,1037.0,17386
192,18402,1204.0,9874
193,9348,57395.0,14552
194,139408,3087.0,7183
195,281,5469.0,9265
196,5967,50.0,7029
197,79593,589.0,17416
198,47939,723.0,10987
199,36834,6193.0,206
200,9090,723.0,1597
201,3512,23880.0,5548
202,52856,1533.0,4102
203,77350,3664.0,4333
204,9560,6384.0,613
205,9804,1269.0,9505
206,31611,8891.0,4072
207,65796,1229.0,17349
208,49805,3926.0,11881
209,26258,11511.0,5933
210,50797,82796.0,12462
211,19155,1641.0,11954
212,76,569.0,14063
213,11017,19292.0,16252
214,37141,5588.0,6084
215,9382,2395.0,6425
216,6715,51214.0,13272
217,18256,27993.0,16013
218,22625,5577.0,12848
219,2292,23629.0,9508
220,1909,85.0,7814
221,8984,3392.0,1568
222,61813,14326.0,13927
223,4954,10814.0,8210
224,62488,32597.0,6942
225,10531,10205.0,14613
226,11929,8534.0,16300
227,8467,206.0,13242
228,10451,1623.0,1038
